,id_start_el,id_end_el,id_start_ah,id_end_ah,t_start_el,t_end_el,t_start_ah,t_end_ah,pos_start_el,pos_end_el,pos_start_ah,pos_end_ah,amp_el,amp_ah,peak_vel_el,peak_vel_ah,subject,task,trial,corr
0,556,574,784,802,2.228,2.232,2.204,2.208,8.956133503183832,22.572555378227126,23.04646927518351,37.606624555358,13.616421875043294,14.560155280174492,318.1633564119025,289.3526177678609,AE06,VMS,13,0.8077889127004921
1,313,322,543,554,1.256,1.26,1.2400000000000002,1.2440000000000002,14.072864441178812,7.225333789544198,27.801013312247193,21.701499601697375,-6.847530651634614,-6.099513710549818,257.17810774513066,205.35566083710705,AE06,VMS,13,0.8077889127004921
0,558,571,647,663,2.236,2.24,2.212,2.216,8.797759852550172,23.133583734885534,22.46951479889493,37.778091231045835,14.335823882335362,15.308576432150904,397.818818026995,388.18747539059916,AE06,VMS,14,0.9234012779875403
1,304,312,394,404,1.22,1.224,1.2000000000000002,1.2040000000000002,14.072655510447092,8.477632226935299,27.50081765522132,22.364117503639946,-5.595023283511793,-5.136700151581373,238.18130383138225,193.93681213137285,AE06,VMS,14,0.9234012779875403
0,562,577,737,755,2.252,2.256,2.24,2.2439999999999998,20.54647482527657,8.422920949818849,35.029979920497325,21.417457362559567,-12.12355387545772,-13.612522557937758,313.7646164669293,314.90099932068193,AE06,VMS,15,0.9424729090351714
1,307,315,483,493,1.232,1.236,1.224,1.228,15.31794551014254,20.70296764427517,28.382291986753764,34.474972937915034,5.38502213413263,6.09268095116127,226.58072439618266,225.32588035108498,AE06,VMS,15,0.9424729090351714
0,555,568,730,752,2.224,2.228,2.184,2.1879999999999997,12.456978538205991,22.578645933326136,25.918574009761187,38.35094750198366,10.121667395120145,12.432373492222474,290.48984926201854,256.22716227000143,AE06,VMS,16,0.8951397619744025
1,308,314,492,498,1.236,1.24,1.232,1.236,15.18324711345334,12.949747635223897,27.883458371604416,25.983381461484964,-2.2334994782294437,-1.9000769101194521,114.45095075719469,98.33243317517064,AE06,VMS,16,0.8951397619744025
0,556,569,730,745,2.228,2.232,2.2119999999999997,2.216,9.937084212428779,23.31924322161732,23.295681182632187,38.501438219667136,13.382159009188541,15.20575703703495,393.5928022027304,469.4256926639425,AE06,VMS,17,0.9224083875138711
1,323,332,496,509,1.296,1.3,1.276,1.28,15.161051284330703,7.752969552210719,29.05393267915551,22.160339548072304,-7.408081732119984,-6.893593131083204,311.99459070405504,220.07790528272153,AE06,VMS,17,0.9224083875138711
0,566,583,733,750,2.268,2.272,2.248,2.252,18.50918933894885,7.1334368436694655,32.68996515664196,20.844909173084773,-11.375752495279386,-11.845055983557188,328.4860099949913,294.82022893607,AE06,VMS,18,0.9033439204281628
1,320,326,488,497,1.284,1.288,1.268,1.272,16.188166335212465,18.461819324000103,29.83199407033042,32.1546910660538,2.2736529887876387,2.32269699572338,120.7917532948374,80.28610839882688,AE06,VMS,18,0.9033439204281628
0,552,564,535,556,2.212,2.216,2.208,2.212,13.91875283013194,24.722768135449336,26.982231720799412,42.01978582901299,10.804015305317396,15.037554108213577,311.34001759120974,329.8355827365473,AE06,VMS,19,0.9738216915096128
1,312,318,300,309,1.252,1.256,1.268,1.272,16.60777581723444,14.070157443956749,29.483180033442263,26.656875370481515,-2.5376183732776916,-2.826304662960748,139.9154676804959,106.28358648156026,AE06,VMS,19,0.9738216915096128
0,551,567,776,795,2.208,2.212,2.196,2.2,21.766633680661958,8.449756964687692,36.776027720368575,21.639573476920827,-13.316876715974265,-15.136454243447748,328.91004950298236,343.92316164659405,AE06,VMS,20,0.8693797823666997
1,302,311,529,540,1.212,1.216,1.2080000000000002,1.2120000000000002,16.47385160621051,21.418776617460118,29.788313690523943,35.50401935926701,4.944925011249609,5.71570566874307,195.24773767695348,193.44837065505027,AE06,VMS,20,0.8693797823666997
0,553,568,742,767,2.216,2.22,2.1799999999999997,2.184,13.590425186811117,23.58347030555762,27.62364566877247,41.724091220499076,9.993045118746501,14.100445551726608,264.52639207394355,357.0491171758959,AE06,VMS,21,0.8724401912308261
1,306,315,494,506,1.228,1.232,1.188,1.192,15.79853909731153,13.899324305276231,29.728384224971844,27.623367369760885,-1.8992147920352984,-2.105016855210959,58.40213108556365,54.1437503915955,AE06,VMS,21,0.8724401912308261
0,551,565,748,770,2.208,2.212,2.276,2.2800000000000002,11.413160745466334,25.29000209387344,24.584987786859145,41.094305069497196,13.876841348407106,16.50931728263805,380.77237515817944,400.9422333796085,AE06,VMS,22,0.8930279081562307
1,313,321,510,520,1.256,1.26,1.324,1.328,16.983667874776422,11.47661137353694,29.620637912086053,24.05017744413301,-5.507056501239482,-5.570460467953044,254.0325989240298,218.89114456448098,AE06,VMS,22,0.8930279081562307
0,556,579,617,642,2.228,2.232,2.2119999999999997,2.216,24.93571010465442,7.830929274944369,42.771664599608265,21.5490649426241,-17.10478082971005,-21.222599656984166,250.94230394791484,270.6150238027082,AE06,VMS,23,0.9383141094707876
1,315,324,378,391,1.264,1.268,1.256,1.26,16.747732972830125,23.914174710357504,30.849129074430195,40.240318980355745,7.166441737527379,9.39118990592555,266.5377960996144,341.1336637465926,AE06,VMS,23,0.9383141094707876
0,539,584,704,737,2.16,2.164,2.2239999999999998,2.2279999999999998,7.899974249755594,23.738762110222225,23.130131611143568,37.30691627530902,15.838787860466631,14.176784664165453,178.42606043875804,207.2139730019337,AE06,VMS,24,0.8885570978132581
