subject,id,trial,source,stream,freq,amp,coeff,slope,slope_tar,gain
1,AE01,19,eyelink,right,0.2,-9,0.991411705965042,9.33647862530498,10.8660298353531,0.859235504298758
1,AE01,19,eyelink,left,0.2,-9,0.995574837434573,9.51041669171186,10.8660298353531,0.875243012932772
1,AE01,19,adhawk,right,0.2,-9,0.992725276632389,8.18726031349268,10.8660298353531,0.753473019819535
1,AE01,19,adhawk,left,0.2,-9,0.569855777757181,5.94365004491886,10.8660298353531,0.546993716654534
1,AE01,20,eyelink,right,0.01,-9,0.943819237098252,-0.00400211737556542,-0.565149628070223,0.00708151819763408
1,AE01,20,eyelink,left,0.01,-9,0.970929964128406,-0.293143825269666,-0.565149628070223,0.518701261948351
1,AE01,20,adhawk,right,0.01,-9,0.93612513988776,-0.358459556440733,-0.565149628070223,0.634273719094074
1,AE01,20,adhawk,left,0.01,-9,0.755585819834456,-0.399859706599516,-0.565149628070223,0.707528921083941
1,AE01,21,eyelink,right,0.01,-9,0.989976422896951,-0.258110444287463,-0.565149628070223,0.456711694509674
1,AE01,21,eyelink,left,0.01,-9,0.996846041425699,-0.409732784734689,-0.565149628070223,0.72499876914681
1,AE01,21,adhawk,right,0.01,-9,0.989182663873762,-0.323992665425018,-0.565149628070223,0.573286523307701
1,AE01,21,adhawk,left,0.01,-9,0.945331515766894,0.00155368553950323,-0.565149628070223,-0.00274915785543112
