subject,id,trial,stream,freq,amp,conj
2,AE02,8,adhawk,0.01,-9,0.469416118969025
2,AE02,8,target,0.01,-9,0
2,AE02,9,eyelink,0.01,9,-0.120003047182525
2,AE02,9,adhawk,0.01,9,0.266679778715069
2,AE02,9,target,0.01,9,0
2,AE02,10,eyelink,0.2,9,0.117220559424961
2,AE02,10,adhawk,0.2,9,-0.414011809430407
2,AE02,10,target,0.2,9,0
2,AE02,11,eyelink,0.1,-9,0.156511152345218
2,AE02,11,adhawk,0.1,-9,-0.860954180407911
2,AE02,11,target,0.1,-9,0
2,AE02,12,eyelink,0.01,9,0.0627189203951565
2,AE02,12,adhawk,0.01,9,0.307947120667995
2,AE02,12,target,0.01,9,0
2,AE02,13,eyelink,0.1,9,-0.231305819731782
2,AE02,13,adhawk,0.1,9,0.218619271599675
2,AE02,13,target,0.1,9,0
2,AE02,14,eyelink,0.1,9,0.188626114097155
2,AE02,14,adhawk,0.1,9,-0.273731013323578
2,AE02,14,target,0.1,9,0
2,AE02,15,eyelink,0.1,9,-0.0490347227633621
2,AE02,15,adhawk,0.1,9,0.366428784377588
2,AE02,15,target,0.1,9,0
2,AE02,16,eyelink,0.1,9,0.0687816002648247
2,AE02,16,adhawk,0.1,9,-0.0717706103965681
2,AE02,16,target,0.1,9,0
2,AE02,17,eyelink,0.1,9,0.414140941671329
2,AE02,17,adhawk,0.1,9,0.53589663970739
2,AE02,17,target,0.1,9,0
2,AE02,18,eyelink,0.1,-9,-0.0291209368122141
2,AE02,18,adhawk,0.1,-9,-1.60912142813144
2,AE02,18,target,0.1,-9,0
2,AE02,19,eyelink,0.1,-9,-0.470694235871519
2,AE02,19,adhawk,0.1,-9,-1.0121544163139
2,AE02,19,target,0.1,-9,0
2,AE02,20,eyelink,0.2,-9,0.0512450270112378
2,AE02,20,adhawk,0.2,-9,1.14383214796743
2,AE02,20,target,0.2,-9,0
2,AE02,21,eyelink,0.01,9,-0.687829666180435
2,AE02,21,adhawk,0.01,9,0.61950136540826
2,AE02,21,target,0.01,9,0
2,AE02,22,eyelink,0.1,-9,-0.533510499250454
2,AE02,22,adhawk,0.1,-9,-0.502659020721349
2,AE02,22,target,0.1,-9,0
2,AE02,23,eyelink,0.01,-9,0.0584385873161184
2,AE02,23,adhawk,0.01,-9,0.0812971342893544
2,AE02,23,target,0.01,-9,0
2,AE02,24,eyelink,0.01,-9,-0.111882092802566
2,AE02,24,adhawk,0.01,-9,-0.0957253668265623
2,AE02,24,target,0.01,-9,0
2,AE02,25,eyelink,0.2,-9,0.0722965714257111
2,AE02,25,adhawk,0.2,-9,0.370058708210419
2,AE02,25,target,0.2,-9,0
