subject,eye,trial,target_freq,el_freq,ah_freq,el_freq_gain,ah_freq_gain,target_amp,el_amp,ah_amp,el_amp_gain,ah_amp_gain
AE03,left,17,0.1,0.099328586,0.111151094,0.993285861,1.111510939,9,7.910571124,7.759629835,0.878952347,0.862181093
AE03,left,18,0.1,0.099396616,0.098914615,0.993966155,0.989146149,9,8.120524005,9.528278809,0.902280445,1.058697645
AE03,left,19,0.2,0.199440991,0.187274294,0.997204957,0.936371472,9,7.940854971,9.173878236,0.882317219,1.019319804
AE03,left,22,0.2,0.218527866,0.214305102,1.092639328,1.071525511,9,8.163958024,9.296182593,0.907106447,1.032909177
AE03,left,25,0.1,0.098774871,0.103833678,0.987748707,1.038336775,9,7.603553247,8.066275943,0.84483925,0.896252883
AE03,left,27,0.2,0.202878331,0.195807965,1.014391652,0.979039826,9,8.344871937,9.271850595,0.927207993,1.030205622
AE03,left,29,0.1,0.095732169,0.104727646,0.957321689,1.047276457,9,7.32272056,7.148849541,0.813635618,0.794316616
AE03,left,30,0.2,0.201552191,0.197369884,1.007760956,0.98684942,9,8.246322186,9.589788352,0.916258021,1.065532039
AE04,right,2,0.1,0.100368011,0.111916674,1.003680112,1.119166742,9,8.33462005,7.10584343,0.926068895,0.789538159
AE04,right,3,0.1,0.103722738,0.108332462,1.037227379,1.083324619,9,8.164521451,7.751027387,0.90716905,0.861225265
AE04,right,4,0.2,0.202006114,0.200172926,1.010030568,1.000864627,9,8.302651671,7.865978586,0.922516852,0.873997621
AE04,right,6,0.1,0.103868572,0.106684816,1.038685717,1.066848162,9,8.479233859,7.411703176,0.942137096,0.823522575
AE04,right,8,0.2,0.201630023,0.197571549,1.008150115,0.987857747,9,8.620569761,8.036693457,0.957841085,0.89296594
AE04,right,9,0.1,0.101405189,0.10362255,1.014051894,1.036225502,9,8.674751904,7.221322476,0.963861323,0.802369164
AE04,right,12,0.2,0.20244323,0.197669605,1.01221615,0.988348027,9,8.643788131,8.228423726,0.960420903,0.914269303
AE04,right,14,0.2,0.203164596,0.196216514,1.015822981,0.981082568,9,8.594294474,8.250594615,0.954921608,0.916732735
AE04,right,15,0.1,0.100097553,0.103504934,1.000975529,1.035049344,9,8.527332281,7.344044445,0.947481365,0.816004938
AE04,right,16,0.2,0.200930527,0.195132853,1.004652636,0.975664265,9,8.658251182,8.157661919,0.962027909,0.90640688
AE04,right,17,0.1,0.102812164,0.105305798,1.028121639,1.053057982,9,8.484989191,7.147479726,0.942776577,0.794164414
AE04,right,18,0.1,0.102390718,0.113255948,1.023907178,1.132559479,9,8.417005627,6.237868824,0.935222848,0.693096536
AE04,right,19,0.2,0.202309109,0.196184529,1.011545546,0.980922646,9,8.445333076,8.095277129,0.938370342,0.899475237
AE04,right,22,0.2,0.202649562,0.197908037,1.013247812,0.989540185,9,8.557757073,8.279024399,0.950861897,0.9198916
AE04,right,25,0.1,0.101022113,0.106030934,1.010221126,1.060309336,9,8.428664975,7.939153216,0.936518331,0.882128135
AE04,right,27,0.2,0.20215252,0.193846422,1.010762601,0.969232109,9,8.620053446,8.421866866,0.957783716,0.935762985
