subject,eye,trial,target_freq,el_freq,ah_freq,el_freq_gain,ah_freq_gain,target_amp,el_amp,ah_amp,el_amp_gain,ah_amp_gain
AE10,right,27,0.2,0.196070676,0.13146801,0.980353382,0.657340049,9,5.143300987,4.963565313,0.571477888,0.551507257
AE10,right,28,0.2,0.205190648,0.112752,1.025953241,0.563760002,9,6.029472676,5.660708215,0.669941408,0.628967579
AE10,left,1,0.1,0.101367791,0.098436419,1.013677912,0.984364192,9,6.515908114,4.501358137,0.72398979,0.500150904
AE10,left,5,0.2,0.200533792,0.200735295,1.002668957,1.003676476,9,6.041038573,5.700563444,0.671226508,0.633395938
AE10,left,10,0.2,0.20061469,0.179925377,1.003073447,0.899626884,9,6.104254967,5.821114198,0.678250552,0.646790466
AE10,left,16,0.1,0.100060208,0.118409943,1.000602082,1.184099426,9,5.062387953,4.361822484,0.56248755,0.484646943
AE10,left,27,0.2,0.200348947,0.157824521,1.001744734,0.789122603,9,5.001672867,5.209306921,0.55574143,0.57881188
AE10,left,28,0.2,0.204751484,0.192027333,1.023757421,0.960136667,9,6.069180945,5.949477357,0.674353438,0.66105304
AE11,right,1,0.1,0.101290398,0.106646029,1.012903982,1.066460289,9,6.722018602,4.96360176,0.746890956,0.551511307
AE11,right,2,0.2,0.200699625,0.204174086,1.003498124,1.020870428,9,6.284842927,5.199032078,0.698315881,0.577670231
AE11,right,5,0.2,0.197670528,0.192372219,0.988352642,0.961861094,9,6.363616474,5.628024914,0.707068497,0.625336102
AE11,right,6,0.2,0.20322602,0.156990674,1.016130098,0.784953368,9,5.760788359,6.217726208,0.640087595,0.690858468
AE11,right,10,0.2,0.207787219,0.135662824,1.038936096,0.67831412,9,5.518298304,6.191239094,0.613144256,0.687915455
AE11,right,11,0.1,0.098379892,0.088927203,0.983798921,0.889272031,9,5.926409023,5.187740186,0.658489891,0.576415576
AE11,right,13,0.1,0.098401714,0.110290378,0.984017136,1.102903782,9,5.667204738,4.190642232,0.629689415,0.465626915
AE11,right,14,0.1,0.100477244,0.099746159,1.004772444,0.997461589,9,6.044830833,5.793084767,0.67164787,0.643676085
AE11,right,15,0.1,0.095244896,0.0970326,0.952448957,0.970325997,9,5.845824911,5.099176256,0.649536101,0.56657514
AE11,right,16,0.1,0.104605478,0.092642325,1.04605478,0.926423251,9,5.434311723,5.637645134,0.603812414,0.626405015
AE11,right,17,0.1,0.098005856,0.096899947,0.980058561,0.968999474,9,5.964595634,5.519653946,0.662732848,0.613294883
AE11,right,19,0.1,0.099358389,0.098943329,0.993583892,0.989433285,9,5.891094105,5.564732367,0.654566012,0.618303596
AE11,right,20,0.2,0.20905149,0.198894749,1.04525745,0.994473745,9,6.045963194,5.26591895,0.671773688,0.585102106
AE11,right,22,0.1,0.099511541,0.110648183,0.995115408,1.106481831,9,6.881491989,4.24536861,0.764610221,0.471707623
AE11,right,25,0.2,0.209544339,0.170645864,1.047721697,0.853229322,9,5.595249949,5.760454103,0.621694439,0.640050456
AE11,right,27,0.2,0.207400972,0.171420815,1.03700486,0.857104074,9,5.565181004,4.343760567,0.618353445,0.482640063
AE11,right,28,0.2,0.177793045,0.156494611,0.888965223,0.782473053,9,5.684803048,5.054190871,0.631644783,0.561576763
