subject,eye,trial,target_slope,el_slope,ah_slope,el_slope_gain,ah_slope_gain
AE06,right,4,0.54982776,0.327403836,0.362623795,0.595466179,0.659522528
AE06,right,8,0.54982776,0.292716685,0.258669985,0.532378876,0.470456394
AE06,right,9,-0.54982776,-0.46737207,-0.364556618,0.850033598,0.663037853
AE06,right,23,0.54982776,0.254071137,0.338133739,0.462092232,0.614981206
AE06,right,24,0.54982776,0.303241904,0.253161611,0.551521633,0.46043803
AE06,right,26,-0.54982776,-0.248326107,-0.259602522,0.451643452,0.472152446
AE06,left,3,-0.54982776,-0.615680432,-0.359157497,1.119769638,0.653218195
AE06,left,4,0.54982776,0.368587428,0.373425313,0.670368895,0.679167804
AE06,left,8,0.54982776,0.251349114,0.162796199,0.457141549,0.296085813
AE06,left,9,-0.54982776,-0.46935592,-0.486817127,0.853641728,0.885399323
AE06,left,23,0.54982776,0.355932614,0.399240806,0.647352935,0.726119768
AE06,left,24,0.54982776,0.300120535,0.26457135,0.545844639,0.481189509
AE06,left,26,-0.54982776,-0.357813503,-0.373943745,0.650773804,0.680110703
