,subject,amp,vel,eye,tracker
21,AE03,1.85567219,73.34596409,right,EL
22,AE03,4.567665882,149.4921767,right,EL
23,AE03,8.147353685,249.1419412,right,EL
24,AE03,8.470221005,261.5405231,right,EL
25,AE03,-5.721654277,187.0041076,right,EL
26,AE03,-5.355839871,185.7450753,right,EL
27,AE03,2.272556654,82.48140211,right,EL
28,AE03,1.747744577,82.13947544,right,EL
29,AE03,-6.710780434,180.4719573,right,EL
30,AE03,3.351497817,130.4541776,right,EL
31,AE03,-2.086585652,109.0229446,right,EL
32,AE03,-5.612147656,183.1233633,right,EL
33,AE03,-4.016955653,152.0883859,right,EL
34,AE03,5.817608929,196.0161896,right,EL
35,AE03,-4.785220755,157.8681241,right,EL
36,AE03,3.686887268,146.7661117,right,EL
37,AE03,0.983718471,64.19735033,right,EL
38,AE03,-2.227759773,93.13237662,right,EL
39,AE03,8.769019898,235.3776793,right,EL
40,AE03,-7.63009455,241.185431,right,EL
41,AE03,-7.590697631,209.0985449,right,EL
43,AE03,-5.442003184,96.93624866,right,EL
44,AE03,3.819723125,113.2742001,right,EL
45,AE03,7.013900785,250.4903853,right,EL
46,AE03,-2.12611594,112.9207219,right,EL
47,AE03,-7.390574179,219.0937785,right,EL
48,AE03,5.81107991,222.0900175,right,EL
49,AE03,5.287795818,192.7581492,right,EL
51,AE03,8.605319771,238.1250139,right,EL
52,AE03,-5.317527972,190.1173545,right,EL
53,AE03,-32.73920342,421.1422333,right,EL
54,AE03,2.589028452,116.0429263,right,EL
56,AE03,8.804364768,278.7776442,right,EL
57,AE03,7.666828201,201.6667225,right,EL
59,AE03,4.410677011,143.4851391,right,EL
60,AE03,-6.604599405,208.2951906,right,EL
61,AE03,-3.855628831,163.3889619,right,EL
62,AE03,6.486754195,182.6060558,right,EL
63,AE03,-5.472365595,174.5501344,right,EL
64,AE03,-7.081520221,219.5240862,right,EL
65,AE03,-3.658878468,154.2327817,right,EL
66,AE03,5.90942765,229.4835844,right,EL
67,AE03,-5.013184025,178.0430381,right,EL
68,AE03,-7.242630069,191.1899138,right,EL
69,AE03,5.760676086,182.0630598,right,EL
70,AE03,-7.24555564,244.1636116,right,EL
71,AE03,6.13922574,201.4674318,right,EL
72,AE03,7.168277529,145.0085349,right,EL
73,AE03,3.328668696,124.1468337,right,EL
74,AE03,-23.98836415,338.0532179,right,EL
75,AE03,-5.353481507,189.2562389,right,EL
76,AE03,3.535972684,143.0518995,right,EL
77,AE03,3.862679918,137.4387676,right,EL
78,AE03,4.034607305,138.4011415,right,EL
79,AE03,-7.894017338,147.0869324,right,EL
80,AE03,8.246887652,239.4157062,right,EL
81,AE03,-6.369985847,199.7868048,right,EL
82,AE03,7.915953321,133.6673403,right,EL
83,AE03,7.602140609,240.6832322,right,EL
84,AE03,-6.866461773,211.5367365,right,EL
85,AE03,-4.991219336,175.2402146,right,EL
86,AE03,7.274196062,230.7648948,right,EL
87,AE03,0.654390233,53.70510843,right,EL
88,AE03,-3.59869812,140.4635518,right,EL
89,AE03,-6.703736345,218.4099859,right,EL
90,AE03,-3.151564638,139.4930969,right,EL
91,AE03,-6.680970952,133.0360227,right,EL
92,AE03,3.907658249,157.2333072,right,EL
93,AE03,4.568487285,147.361182,right,EL
94,AE03,-8.71755635,176.7866312,right,EL
95,AE03,-3.281863513,144.4039181,right,EL
96,AE03,-6.000993998,158.0699483,right,EL
